onset	duration	trial_type	item_id
0.0	0.0	image	000000117914
0.125	0.0	image	000000569030
0.25	0.0	image	000000397303
0.375	0.0	image	000000544306
0.5	0.0	image	000000033109
0.625	0.0	image	000000242411
0.75	0.0	image	000000007108
0.875	0.0	image	000000221872
1.0	0.0	image	000000512403
1.125	0.0	image	000000177714
1.25	0.0	image	000000458992
1.375	0.0	image	000000356424
1.5	0.0	image	000000204871
1.625	0.0	image	000000349837
1.75	0.0	image	000000311303
1.875	0.0	image	000000171298
2.0	0.0	image	000000305695
2.125	0.0	image	000000571598
2.25	0.0	image	000000273132
2.375	0.0	image	000000526197
2.5	0.0	image	000000111609
2.625	0.0	image	000000559547
2.75	0.0	image	000000293625
2.875	0.0	image	000000449661
3.0	0.0	image	000000259830
3.125	0.0	image	000000463527
3.25	0.0	image	000000284279
3.375	0.0	image	000000498857
3.5	0.0	image	000000091500
3.625	0.0	image	000000462576
3.75	0.0	image	000000444275
3.875	0.0	image	000000289586
4.0	0.0	image	000000163314
4.125	0.0	image	000000405195
4.25	0.0	image	000000453722
4.375	0.0	image	000000554002
4.5	0.0	image	000000537506
4.625	0.0	image	000000182417
4.75	0.0	image	000000537053
4.875	0.0	image	000000432085
5.0	0.0	image	000000110282
5.125	0.0	image	000000016598
5.25	0.0	image	000000513041
5.375	0.0	image	000000239773
5.5	0.0	image	000000279730
5.625	0.0	image	000000354753
5.75	0.0	image	000000284698
5.875	0.0	image	000000574315
6.0	0.0	image	000000400082
6.125	0.0	image	000000078266
6.25	0.0	image	000000180792
6.375	0.0	image	000000052565
6.5	0.0	image	000000479248
6.625	0.0	image	000000311518
6.75	0.0	image	000000531707
6.875	0.0	image	000000383289
7.0	0.0	image	000000313588
7.125	0.0	image	000000344029
7.25	0.0	image	000000384850
7.375	0.0	image	000000005529
7.5	0.0	image	000000368900
7.625	0.0	image	000000307658
7.75	0.0	image	000000424721
7.875	0.0	image	000000450686
8.0	0.0	image	000000033114
8.125	0.0	image	000000173091
8.25	0.0	image	000000400794
8.375	0.0	image	000000284106
8.5	0.0	image	000000277051
8.625	0.0	image	000000236166
8.75	0.0	image	000000473974
8.875	0.0	image	000000001818
9.0	0.0	image	000000000285
9.125	0.0	image	000000231097
9.25	0.0	image	000000039405
9.375	0.0	image	000000581615
9.5	0.0	image	000000100283
9.625	0.0	image	000000187144
9.75	0.0	image	000000234526
9.875	0.0	image	000000087144
10.0	0.0	image	000000526392
10.125	0.0	image	000000165351
10.25	0.0	image	000000414170
10.375	0.0	image	000000219283
10.5	0.0	image	000000008899
10.625	0.0	image	000000322163
10.75	0.0	image	000000430048
10.875	0.0	image	000000335954
11.0	0.0	image	000000509699
11.125	0.0	image	000000268996
11.25	0.0	image	000000532761
11.375	0.0	image	000000072281
11.5	0.0	image	000000512929
11.625	0.0	image	000000309452
11.75	0.0	image	000000298251
11.875	0.0	image	000000570169
12.0	0.0	image	000000519491
12.125	0.0	image	000000341196
12.25	0.0	image	000000308631
12.375	0.0	image	000000118405
12.5	0.0	image	000000332845
12.625	0.0	image	000000173044
12.75	0.0	image	000000379453
12.875	0.0	image	000000090208
13.0	0.0	image	000000407403
13.125	0.0	image	000000140658
13.25	0.0	image	000000155179
13.375	0.0	image	000000155291
13.5	0.0	image	000000240754
13.625	0.0	image	000000504711
13.75	0.0	image	000000267933
13.875	0.0	image	000000565624
14.0	0.0	image	000000460967
14.125	0.0	image	000000463730
14.25	0.0	image	000000112110
14.375	0.0	image	000000324158
14.5	0.0	image	000000047121
14.625	0.0	image	000000156643
14.75	0.0	image	000000289659
14.875	0.0	image	000000454661
15.0	0.0	image	000000379332
15.125	0.0	image	000000370375
15.25	0.0	image	000000137106
15.375	0.0	image	000000524108
15.5	0.0	image	000000016010
15.625	0.0	image	000000270705
15.75	0.0	image	000000091615
15.875	0.0	image	000000368456
16.0	0.0	image	000000363072
16.125	0.0	image	000000000632
16.25	0.0	image	000000302760
16.375	0.0	image	000000066926
16.5	0.0	image	000000446117
16.625	0.0	image	000000007511
16.75	0.0	image	000000247806
16.875	0.0	image	000000015746
17.0	0.0	image	000000032081
17.125	0.0	image	000000414673
17.25	0.0	image	000000226662
17.375	0.0	image	000000163257
